term_id,name,status,start,end
TERM1_2017,Term 1 2017,active,2017-01-23T00:00:00,2017-03-31T00:00:00
TERM2_2017,Term 2 2017,active,2017-04-17T00:00:00,2017-06-23T00:00:00
TERM3_2017,Term 3 2017,active,2017-07-10T00:00:00,2017-09-15T00:00:00
TERM4_2017,Term 4 2017,active,2017-10-02T00:00:00,2017-11-24T00:00:00
ROT1_2017,Rotation 1 2017,active,2017-01-23T00:00:00,2017-02-25T00:00:00
ROT2_2017,Rotation 2 2017,active,2017-02-25T00:01:00,2017-03-31T00:00:00
ROT3_2017,Rotation 3 2017,active,2017-04-17T00:01:00,2017-05-20T00:00:00
ROT4_2017,Rotation 4 2017,active,2017-05-20T00:01:00,2017-06-23T00:00:00
ROT5_2017,Rotation 5 2017,active,2017-07-10T00:01:00,2017-08-12T00:00:00
ROT6_2017,Rotation 6 2017,active,2017-08-12T00:01:00,2017-09-15T00:00:00
ROT7_2017,Rotation 7 2017,active,2017-10-02T00:01:00,2017-10-28T00:00:00
ROT8_2017,Rotation 8 2017,active,2017-10-28T00:01:00,2017-11-24T00:00:00
SEM1_2017,Semester 1 2017,active,2017-01-23T00:00:00,2017-06-23T00:00:00
SEM2_2017,Semester 2 2017,active,2017-07-10T00:00:00,2017-11-24T00:00:00
YEAR_2017,Year 2017,active,2017-01-23T00:00:00,2017-11-24T00:00:00